"Drug1"	"Drug2"
"DB00685"	"DB01204"
"DB00685"	"DB01208"
"DB00685"	"DB09047"
"DB00686"	"DB00686"
"DB00687"	"DB00687"
"DB00688"	"DB00688"
"DB00688"	"DB01024"
"DB00690"	"DB00690"
"DB00690"	"DB00842"
"DB00690"	"DB01558"
"DB00691"	"DB00691"
"DB00692"	"DB00692"
"DB00694"	"DB00380"
"DB00694"	"DB00694"
"DB00694"	"DB00773"
"DB00695"	"DB00695"
"DB00696"	"DB00696"
"DB00697"	"DB00697"
"DB00699"	"DB00610"
"DB00699"	"DB00699"
"DB00699"	"DB01253"
"DB00699"	"DB06764"
"DB00699"	"DB09205"
"DB00703"	"DB00703"
"DB00703"	"DB00869"
"DB00703"	"DB01144"
"DB00704"	"DB00704"
"DB00706"	"DB00211"
"DB00706"	"DB00298"
"DB00706"	"DB00388"
"DB00706"	"DB00706"
"DB00706"	"DB00723"
"DB00706"	"DB06207"
"DB00707"	"DB00707"
"DB00708"	"DB00318"
"DB00708"	"DB00327"
"DB00708"	"DB00497"
"DB00708"	"DB00611"
"DB00708"	"DB00708"
"DB00708"	"DB00844"
"DB00708"	"DB00854"
"DB00708"	"DB00899"
"DB00708"	"DB01535"
"DB00708"	"DB06230"
"DB00708"	"DB06274"
"DB00708"	"DB09209"
"DB00708"	"DB09272"
"DB00708"	"DB11130"
"DB00708"	"DB11691"
"DB00710"	"DB00282"
"DB00710"	"DB00710"
"DB00710"	"DB00884"
"DB00711"	"DB00711"
"DB00712"	"DB00461"
"DB00712"	"DB00465"
"DB00712"	"DB00469"
"DB00712"	"DB00500"
"DB00712"	"DB00554"
"DB00712"	"DB00712"
"DB00712"	"DB00784"
"DB00712"	"DB00788"
"DB00712"	"DB00814"
"DB00712"	"DB00821"
"DB00712"	"DB00861"
"DB00712"	"DB00870"
"DB00712"	"DB00963"
"DB00712"	"DB00991"
"DB00712"	"DB01283"
"DB00712"	"DB01399"
"DB00712"	"DB01401"
"DB00712"	"DB01419"
"DB00712"	"DB01435"
"DB00712"	"DB01600"
"DB00712"	"DB06725"
"DB00712"	"DB06736"
"DB00712"	"DB06802"
"DB00712"	"DB09214"
"DB00712"	"DB09216"
"DB00712"	"DB11071"
"DB00712"	"DB11079"
"DB00712"	"DB11201"
"DB00712"	"DB11323"
"DB00712"	"DB13501"
"DB00712"	"DB13783"
"DB00713"	"DB00713"
"DB00714"	"DB00714"
"DB00715"	"DB00715"
"DB00716"	"DB00716"
"DB00717"	"DB00378"
"DB00717"	"DB00717"
"DB00717"	"DB06789"
"DB00717"	"DB09124"
"DB00719"	"DB00283"
"DB00719"	"DB00341"
"DB00719"	"DB00405"
"DB00719"	"DB00427"
"DB00719"	"DB00557"
"DB00719"	"DB00719"
"DB00719"	"DB00737"
"DB00719"	"DB00748"
"DB00719"	"DB00792"
"DB00719"	"DB00902"
"DB00719"	"DB00950"
"DB00719"	"DB00967"
"DB00719"	"DB00972"
"DB00719"	"DB00985"
"DB00719"	"DB01084"
"DB00719"	"DB01237"
"DB00719"	"DB01246"
"DB00719"	"DB01619"
"DB00719"	"DB01620"
"DB00719"	"DB04837"
"DB00719"	"DB04890"
"DB00719"	"DB06282"
"DB00719"	"DB06691"
"DB00719"	"DB06766"
"DB00719"	"DB08799"
"DB00719"	"DB08936"
"DB00719"	"DB09488"
"DB00719"	"DB09555"
"DB00719"	"DB11591"
"DB00720"	"DB00720"
"DB00721"	"DB00721"
"DB00722"	"DB00492"
"DB00722"	"DB00519"
"DB00722"	"DB00542"
"DB00722"	"DB00584"
"DB00722"	"DB00722"
"DB00722"	"DB00881"
"DB00722"	"DB01180"
"DB00722"	"DB01340"
"DB00722"	"DB01348"
"DB00722"	"DB13166"
"DB00723"	"DB00211"
"DB00723"	"DB00298"
"DB00723"	"DB00388"
"DB00723"	"DB00706"
"DB00723"	"DB00723"
"DB00723"	"DB06207"
"DB00724"	"DB00724"
"DB00725"	"DB00340"
"DB00725"	"DB00376"
"DB00725"	"DB00496"
"DB00725"	"DB00725"
"DB00725"	"DB00785"
"DB00725"	"DB01036"
"DB00725"	"DB01409"
"DB00725"	"DB01591"
"DB00725"	"DB06702"
"DB00725"	"DB08897"
"DB00725"	"DB09076"
"DB00725"	"DB11181"
"DB00726"	"DB00726"
"DB00727"	"DB00325"
"DB00727"	"DB00727"
"DB00727"	"DB00883"
"DB00727"	"DB01612"
"DB00728"	"DB00728"
"DB00731"	"DB00731"
"DB00731"	"DB00912"
"DB00731"	"DB01067"
"DB00732"	"DB00416"
"DB00732"	"DB00565"
"DB00732"	"DB00732"
"DB00732"	"DB01339"
"DB00733"	"DB00733"
"DB00733"	"DB00944"
"DB00733"	"DB00989"
"DB00733"	"DB01010"
"DB00734"	"DB00734"
"DB00734"	"DB01267"
"DB00735"	"DB00735"
"DB00735"	"DB00857"
"DB00735"	"DB01091"
"DB00736"	"DB00213"
"DB00736"	"DB00736"
"DB00737"	"DB00283"
"DB00737"	"DB00341"
"DB00737"	"DB00405"
"DB00737"	"DB00427"
"DB00737"	"DB00557"
"DB00737"	"DB00719"
"DB00737"	"DB00737"
"DB00737"	"DB00748"
"DB00737"	"DB00792"
"DB00737"	"DB00902"
"DB00737"	"DB00950"
"DB00737"	"DB00967"
"DB00737"	"DB00972"
"DB00737"	"DB00985"
"DB00737"	"DB01084"
"DB00737"	"DB01237"
"DB00737"	"DB01246"
"DB00737"	"DB01619"
"DB00737"	"DB01620"
"DB00737"	"DB04837"
"DB00737"	"DB04890"
"DB00737"	"DB06282"
"DB00737"	"DB06691"
"DB00737"	"DB06766"
"DB00737"	"DB08799"
"DB00737"	"DB08936"
"DB00737"	"DB09488"
"DB00737"	"DB09555"
"DB00737"	"DB11591"
"DB00738"	"DB00738"
"DB00740"	"DB00740"
"DB00741"	"DB00741"
"DB00741"	"DB14538"
"DB00741"	"DB14539"
"DB00741"	"DB14540"
"DB00741"	"DB14541"
"DB00741"	"DB14542"
"DB00741"	"DB14543"
"DB00741"	"DB14544"
"DB00744"	"DB00744"
"DB00745"	"DB00745"
"DB00746"	"DB00746"
"DB00746"	"DB06782"
"DB00746"	"DB09148"
"DB00746"	"DB09149"
"DB00746"	"DB09151"
"DB00747"	"DB00747"
"DB00748"	"DB00283"
"DB00748"	"DB00341"
"DB00748"	"DB00405"
"DB00748"	"DB00427"
"DB00748"	"DB00557"
"DB00748"	"DB00719"
"DB00748"	"DB00737"
"DB00748"	"DB00748"
"DB00748"	"DB00792"
"DB00748"	"DB00902"
"DB00748"	"DB00950"
"DB00748"	"DB00967"
"DB00748"	"DB00972"
"DB00748"	"DB00985"
"DB00748"	"DB01084"
"DB00748"	"DB01237"
"DB00748"	"DB01246"
"DB00748"	"DB01619"
"DB00748"	"DB01620"
"DB00748"	"DB04837"
"DB00748"	"DB04890"
"DB00748"	"DB06282"
"DB00748"	"DB06691"
"DB00748"	"DB06766"
"DB00748"	"DB08799"
"DB00748"	"DB08936"
"DB00748"	"DB09488"
"DB00748"	"DB09555"
"DB00748"	"DB11591"
"DB00749"	"DB00749"
"DB00750"	"DB00192"
"DB00750"	"DB00680"
"DB00750"	"DB00750"
"DB00750"	"DB00776"
"DB00750"	"DB00868"
"DB00750"	"DB01056"
"DB00750"	"DB01228"
"DB00750"	"DB01320"
"DB00750"	"DB01426"
"DB00751"	"DB00751"
"DB00752"	"DB00752"
"DB00752"	"DB01037"
"DB00752"	"DB01171"
"DB00752"	"DB01247"
"DB00752"	"DB01626"
"DB00753"	"DB00753"
"DB00754"	"DB00532"
"DB00754"	"DB00754"
"DB00755"	"DB00755"
"DB00756"	"DB00756"
"DB00757"	"DB00377"
"DB00757"	"DB00757"
"DB00757"	"DB00889"
"DB00757"	"DB00969"
"DB00757"	"DB11699"
"DB00759"	"DB00759"
"DB00761"	"DB00761"
"DB00762"	"DB00762"
"DB00762"	"DB01030"
"DB00763"	"DB00389"
"DB00763"	"DB00550"
"DB00763"	"DB00763"
"DB00763"	"DB11085"
"DB00763"	"DB11496"
"DB00764"	"DB00351"
"DB00764"	"DB00764"
"DB00764"	"DB08906"
"DB00764"	"DB14512"
"DB00765"	"DB00765"
"DB00768"	"DB00768"
"DB00769"	"DB00180"
"DB00769"	"DB00223"
"DB00769"	"DB00240"
"DB00769"	"DB00253"
"DB00769"	"DB00324"
"DB00769"	"DB00394"
"DB00769"	"DB00443"
"DB00769"	"DB00547"
"DB00769"	"DB00596"
"DB00769"	"DB00620"
"DB00769"	"DB00663"
"DB00769"	"DB00769"
"DB00769"	"DB00838"
"DB00769"	"DB00846"
"DB00769"	"DB00860"
"DB00769"	"DB14596"
"DB00769"	"DB00896"
"DB00769"	"DB00959"
"DB00769"	"DB01013"
"DB00769"	"DB01130"
"DB00769"	"DB01222"
"DB00769"	"DB01260"
"DB00769"	"DB01380"
"DB00769"	"DB01410"
"DB00769"	"DB06781"
"DB00769"	"DB11921"
"DB00769"	"DB13158"
"DB00770"	"DB00770"
"DB00771"	"DB00209"
"DB00771"	"DB00219"
"DB00771"	"DB00670"
"DB00771"	"DB00771"
"DB00771"	"DB00782"
"DB00771"	"DB00942"
"DB00771"	"DB00979"
"DB00771"	"DB11855"
"DB00772"	"DB00772"
"DB00772"	"DB00941"
"DB00772"	"DB01057"
"DB00773"	"DB00380"
"DB00773"	"DB00694"
"DB00773"	"DB00773"
"DB00774"	"DB00774"
"DB00775"	"DB00775"
"DB00776"	"DB00192"
"DB00776"	"DB00680"
"DB00776"	"DB00750"
"DB00776"	"DB00776"
"DB00776"	"DB00868"
"DB00776"	"DB01056"
"DB00776"	"DB01228"
"DB00776"	"DB01320"
"DB00776"	"DB01426"
"DB00777"	"DB00420"
"DB00777"	"DB00777"
"DB00778"	"DB00778"
"DB00778"	"DB09031"
"DB00778"	"DB11635"
"DB00780"	"DB00780"
"DB00782"	"DB00209"
"DB00782"	"DB00219"
"DB00782"	"DB00670"
"DB00782"	"DB00771"
"DB00782"	"DB00782"
"DB00782"	"DB00942"
"DB00782"	"DB00979"
"DB00782"	"DB11855"
"DB00783"	"DB00783"
"DB00783"	"DB13952"
"DB00783"	"DB13953"
"DB00783"	"DB13954"
"DB00783"	"DB13955"
"DB00783"	"DB13956"
"DB00784"	"DB00461"
"DB00784"	"DB00465"
"DB00784"	"DB00469"
"DB00784"	"DB00500"
"DB00784"	"DB00554"
"DB00784"	"DB00712"
"DB00784"	"DB00784"
"DB00784"	"DB00788"
"DB00784"	"DB00814"
"DB00784"	"DB00821"
"DB00784"	"DB00861"
"DB00784"	"DB00870"
"DB00784"	"DB00963"
"DB00784"	"DB00991"
"DB00784"	"DB01283"
"DB00784"	"DB01399"
"DB00784"	"DB01401"
"DB00784"	"DB01419"
"DB00784"	"DB01435"
"DB00784"	"DB01600"
"DB00784"	"DB06725"
"DB00784"	"DB06736"
"DB00784"	"DB06802"
"DB00784"	"DB09214"
"DB00784"	"DB09216"
"DB00784"	"DB11071"
"DB00784"	"DB11079"
"DB00784"	"DB11201"
"DB00784"	"DB11323"
"DB00784"	"DB13501"
"DB00784"	"DB13783"
"DB00785"	"DB00340"
"DB00785"	"DB00376"
"DB00785"	"DB00496"
"DB00785"	"DB00725"
"DB00785"	"DB00785"
"DB00785"	"DB01036"
"DB00785"	"DB01409"
"DB00785"	"DB01591"
"DB00785"	"DB06702"
"DB00785"	"DB08897"
"DB00785"	"DB09076"
"DB00785"	"DB11181"
"DB00788"	"DB00461"
"DB00788"	"DB00465"
"DB00788"	"DB00469"
"DB00788"	"DB00500"
"DB00788"	"DB00554"
"DB00788"	"DB00712"
"DB00788"	"DB00784"
"DB00788"	"DB00788"
"DB00788"	"DB00814"
"DB00788"	"DB00821"
"DB00788"	"DB00861"
"DB00788"	"DB00870"
"DB00788"	"DB00963"
"DB00788"	"DB00991"
"DB00788"	"DB01283"
"DB00788"	"DB01399"
"DB00788"	"DB01401"
"DB00788"	"DB01419"
"DB00788"	"DB01435"
"DB00788"	"DB01600"
"DB00788"	"DB06725"
"DB00788"	"DB06736"
"DB00788"	"DB06802"
"DB00788"	"DB09214"
"DB00788"	"DB09216"
"DB00788"	"DB11071"
"DB00788"	"DB11079"
"DB00788"	"DB11201"
"DB00788"	"DB11323"
"DB00788"	"DB13501"
"DB00788"	"DB13783"
"DB00789"	"DB00789"
"DB00790"	"DB00790"
"DB00792"	"DB00283"
"DB00792"	"DB00341"
"DB00792"	"DB00405"
"DB00792"	"DB00427"
"DB00792"	"DB00557"
"DB00792"	"DB00719"
"DB00792"	"DB00737"
"DB00792"	"DB00748"
"DB00792"	"DB00792"
"DB00792"	"DB00902"
"DB00792"	"DB00950"
"DB00792"	"DB00967"
"DB00792"	"DB00972"
"DB00792"	"DB00985"
"DB00792"	"DB01084"
"DB00792"	"DB01237"
"DB00792"	"DB01246"
"DB00792"	"DB01619"
"DB00792"	"DB01620"
"DB00792"	"DB04837"
"DB00792"	"DB04890"
"DB00792"	"DB06282"
"DB00792"	"DB06691"
"DB00792"	"DB06766"
"DB00792"	"DB08799"
"DB00792"	"DB08936"
"DB00792"	"DB09488"
"DB00792"	"DB09555"
"DB00792"	"DB11591"
"DB00794"	"DB00241"
"DB00794"	"DB00306"
"DB00794"	"DB00794"
"DB00794"	"DB01351"
"DB00794"	"DB01353"
"DB00795"	"DB00795"
"DB00796"	"DB00177"
"DB00796"	"DB00275"
"DB00796"	"DB00678"
"DB00796"	"DB00796"
"DB00796"	"DB00876"
"DB00796"	"DB08822"
"DB00796"	"DB11842"
"DB00797"	"DB00797"
"DB00798"	"DB00798"
"DB00799"	"DB00799"
"DB00800"	"DB00800"
"DB00801"	"DB00801"
"DB00801"	"DB01215"
"DB00801"	"DB01559"
"DB00801"	"DB01588"
"DB00801"	"DB01589"
"DB00802"	"DB00504"
"DB00802"	"DB00802"
"DB00802"	"DB00913"
"DB00802"	"DB09049"
"DB00804"	"DB00804"
"DB00804"	"DB01148"
"DB00805"	"DB00805"
"DB00806"	"DB00806"
"DB00807"	"DB00296"
"DB00807"	"DB00297"
"DB00807"	"DB00645"
"DB00807"	"DB00807"
"DB00807"	"DB00892"
"DB00807"	"DB00961"
"DB00807"	"DB01002"
"DB00807"	"DB01086"
"DB00809"	"DB00387"
"DB00809"	"DB00424"
"DB00809"	"DB00809"
"DB00809"	"DB01019"
"DB00809"	"DB01085"
"DB00809"	"DB06787"
"DB00810"	"DB00810"
"DB00811"	"DB00811"
"DB00812"	"DB00812"
"DB00813"	"DB00813"
"DB00814"	"DB00461"
"DB00814"	"DB00465"
"DB00814"	"DB00469"
"DB00814"	"DB00500"
"DB00814"	"DB00554"
"DB00814"	"DB00712"
"DB00814"	"DB00784"
"DB00814"	"DB00788"
"DB00814"	"DB00814"
"DB00814"	"DB00821"
"DB00814"	"DB00861"
"DB00814"	"DB00870"
"DB00814"	"DB00963"
"DB00814"	"DB00991"
"DB00814"	"DB01283"
"DB00814"	"DB01399"
"DB00814"	"DB01401"
"DB00814"	"DB01419"
"DB00814"	"DB01435"
"DB00814"	"DB01600"
"DB00814"	"DB06725"
"DB00814"	"DB06736"
"DB00814"	"DB06802"
"DB00814"	"DB09214"
"DB00814"	"DB09216"
"DB00814"	"DB11071"
"DB00814"	"DB11079"
"DB00814"	"DB11201"
"DB00814"	"DB11323"
"DB00814"	"DB13501"
"DB00814"	"DB13783"
"DB00816"	"DB00816"
"DB00816"	"DB00867"
"DB00816"	"DB01274"
"DB00816"	"DB01366"
"DB00816"	"DB05039"
"DB00816"	"DB06814"
"DB00816"	"DB09080"
"DB00816"	"DB09082"
"DB00816"	"DB11587"
"DB00816"	"DB13139"
"DB00818"	"DB00818"
"DB00819"	"DB00819"
"DB00820"	"DB00820"
"DB00821"	"DB00461"
"DB00821"	"DB00465"
"DB00821"	"DB00469"
"DB00821"	"DB00500"
"DB00821"	"DB00554"
"DB00821"	"DB00712"
"DB00821"	"DB00784"
"DB00821"	"DB00788"
"DB00821"	"DB00814"
"DB00821"	"DB00821"
"DB00821"	"DB00861"
"DB00821"	"DB00870"
"DB00821"	"DB00963"
"DB00821"	"DB00991"
"DB00821"	"DB01283"
"DB00821"	"DB01399"
"DB00821"	"DB01401"
"DB00821"	"DB01419"
"DB00821"	"DB01435"
"DB00821"	"DB01600"
"DB00821"	"DB06725"
"DB00821"	"DB06736"
"DB00821"	"DB06802"
"DB00821"	"DB09214"
"DB00821"	"DB09216"
"DB00821"	"DB11071"
"DB00821"	"DB11079"
"DB00821"	"DB11201"
"DB00821"	"DB11323"
"DB00821"	"DB13501"
"DB00821"	"DB13783"
"DB00822"	"DB00822"
"DB00823"	"DB00294"
"DB00823"	"DB00304"
"DB00823"	"DB00603"
"DB00823"	"DB00823"
"DB00824"	"DB00824"
"DB00825"	"DB00825"
"DB00829"	"DB00829"
"DB00830"	"DB00830"
"DB00830"	"DB00937"
"DB00830"	"DB14754"
"DB00831"	"DB00831"
"DB00834"	"DB00834"
"DB00835"	"DB00835"
"DB00835"	"DB11235"
"DB00836"	"DB00836"
"DB00838"	"DB00180"
"DB00838"	"DB00223"
"DB00838"	"DB00240"
"DB00838"	"DB00253"
"DB00838"	"DB00324"
"DB00838"	"DB00394"
"DB00838"	"DB00443"
"DB00838"	"DB00547"
"DB00838"	"DB00596"
"DB00838"	"DB00620"
"DB00838"	"DB00663"
"DB00838"	"DB00769"
"DB00838"	"DB00838"
"DB00838"	"DB00846"
"DB00838"	"DB00860"
"DB00838"	"DB14596"
"DB00838"	"DB00896"
"DB00838"	"DB00959"
"DB00838"	"DB01013"
"DB00838"	"DB01130"
"DB00838"	"DB01222"
"DB00838"	"DB01260"
"DB00838"	"DB01380"
"DB00838"	"DB01410"
"DB00838"	"DB06781"
"DB00838"	"DB11921"
"DB00838"	"DB13158"
"DB00839"	"DB00672"
"DB00839"	"DB00839"
"DB00841"	"DB00841"
"DB00842"	"DB00690"
"DB00842"	"DB00842"
"DB00842"	"DB01558"
"DB00843"	"DB00843"
"DB00844"	"DB00318"
"DB00844"	"DB00327"
"DB00844"	"DB00497"
"DB00844"	"DB00611"
"DB00844"	"DB00708"
"DB00844"	"DB00844"
"DB00844"	"DB00854"
"DB00844"	"DB00899"
"DB00844"	"DB01535"
"DB00844"	"DB06230"
"DB00844"	"DB06274"
"DB00844"	"DB09209"
"DB00844"	"DB09272"
"DB00844"	"DB11130"
"DB00844"	"DB11691"
"DB00845"	"DB00845"
"DB00846"	"DB00180"
"DB00846"	"DB00223"
"DB00846"	"DB00240"
"DB00846"	"DB00253"
"DB00846"	"DB00324"
"DB00846"	"DB00394"
"DB00846"	"DB00443"
"DB00846"	"DB00547"
"DB00846"	"DB00596"
"DB00846"	"DB00620"
"DB00846"	"DB00663"
"DB00846"	"DB00769"
"DB00846"	"DB00838"
"DB00846"	"DB00846"
"DB00846"	"DB00860"
"DB00846"	"DB14596"
"DB00846"	"DB00896"
"DB00846"	"DB00959"
"DB00846"	"DB01013"
"DB00846"	"DB01130"
"DB00846"	"DB01222"
"DB00846"	"DB01260"
"DB00846"	"DB01380"
"DB00846"	"DB01410"
"DB00846"	"DB06781"
"DB00846"	"DB11921"
"DB00846"	"DB13158"
"DB00847"	"DB00847"
"DB00848"	"DB00848"
"DB00849"	"DB00849"
"DB00850"	"DB00850"
"DB00851"	"DB00851"
"DB00852"	"DB00852"
"DB00854"	"DB00318"
"DB00854"	"DB00327"
"DB00854"	"DB00497"
"DB00854"	"DB00611"
"DB00854"	"DB00708"
"DB00854"	"DB00844"
"DB00854"	"DB00854"
"DB00854"	"DB00899"
"DB00854"	"DB01535"
"DB00854"	"DB06230"
"DB00854"	"DB06274"
"DB00854"	"DB09209"
"DB00854"	"DB09272"
"DB00854"	"DB11130"
"DB00854"	"DB11691"
"DB00855"	"DB00855"
"DB00857"	"DB00735"
"DB00857"	"DB00857"
"DB00857"	"DB01091"
"DB00860"	"DB00180"
"DB00860"	"DB00223"
"DB00860"	"DB00240"
"DB00860"	"DB00253"
"DB00860"	"DB00324"
"DB00860"	"DB00394"
"DB00860"	"DB00443"
"DB00860"	"DB00547"
"DB00860"	"DB00596"
"DB00860"	"DB00620"
"DB00860"	"DB00663"
"DB00860"	"DB00769"
"DB00860"	"DB00838"
"DB00860"	"DB00846"
"DB00860"	"DB00860"
"DB00860"	"DB14596"
"DB00860"	"DB00896"
"DB00860"	"DB00959"
"DB00860"	"DB01013"
"DB00860"	"DB01130"
"DB00860"	"DB01222"
"DB00860"	"DB01260"
"DB00860"	"DB01380"
"DB00860"	"DB01410"
"DB00860"	"DB06781"
"DB00860"	"DB11921"
"DB00860"	"DB13158"
"DB00861"	"DB00461"
"DB00861"	"DB00465"
"DB00861"	"DB00469"
"DB00861"	"DB00500"
"DB00861"	"DB00554"
"DB00861"	"DB00712"
"DB00861"	"DB00784"
"DB00861"	"DB00788"
"DB00861"	"DB00814"
"DB00861"	"DB00821"
"DB00861"	"DB00861"
"DB00861"	"DB00870"
"DB00861"	"DB00963"
"DB00861"	"DB00991"
"DB00861"	"DB01283"
"DB00861"	"DB01399"
"DB00861"	"DB01401"
"DB00861"	"DB01419"
"DB00861"	"DB01435"
"DB00861"	"DB01600"
"DB00861"	"DB06725"
"DB00861"	"DB06736"
"DB00861"	"DB06802"
"DB00861"	"DB09214"
"DB00861"	"DB09216"
"DB00861"	"DB11071"
"DB00861"	"DB11079"
"DB00861"	"DB11201"
"DB00861"	"DB11323"
"DB00861"	"DB13501"
"DB00861"	"DB13783"
"DB00862"	"DB00203"
"DB00862"	"DB00862"
"DB00863"	"DB00863"
"DB00864"	"DB00864"
"DB00865"	"DB00865"
"DB00867"	"DB00816"
"DB00867"	"DB00867"
"DB00867"	"DB01274"
"DB00867"	"DB01366"
"DB00867"	"DB05039"
"DB00867"	"DB06814"
"DB00867"	"DB09080"
"DB00867"	"DB09082"
"DB00867"	"DB11587"
"DB00867"	"DB13139"
"DB00868"	"DB00192"
"DB00868"	"DB00680"
"DB00868"	"DB00750"
"DB00868"	"DB00776"
"DB00868"	"DB00868"
"DB00868"	"DB01056"
"DB00868"	"DB01228"
"DB00868"	"DB01320"
"DB00868"	"DB01426"
"DB00869"	"DB00703"
"DB00869"	"DB00869"
"DB00869"	"DB01144"
"DB00870"	"DB00461"
"DB00870"	"DB00465"
"DB00870"	"DB00469"
"DB00870"	"DB00500"
"DB00870"	"DB00554"
"DB00870"	"DB00712"
"DB00870"	"DB00784"
"DB00870"	"DB00788"
"DB00870"	"DB00814"
"DB00870"	"DB00821"
"DB00870"	"DB00861"
"DB00870"	"DB00870"
"DB00870"	"DB00963"
"DB00870"	"DB00991"
"DB00870"	"DB01283"
"DB00870"	"DB01399"
"DB00870"	"DB01401"
"DB00870"	"DB01419"
"DB00870"	"DB01435"
"DB00870"	"DB01600"
"DB00870"	"DB06725"
"DB00870"	"DB06736"
"DB00870"	"DB06802"
"DB00870"	"DB09214"
"DB00870"	"DB09216"
"DB00870"	"DB11071"
"DB00870"	"DB11079"
"DB00870"	"DB11201"
"DB00870"	"DB11323"
"DB00870"	"DB13501"
"DB00870"	"DB13783"
"DB00871"	"DB00871"
"DB00871"	"DB00938"
"DB00871"	"DB00983"
"DB00871"	"DB01001"
"DB00871"	"DB01102"
"DB00871"	"DB01288"
"DB00871"	"DB01580"
"DB00872"	"DB00872"
"DB00872"	"DB06212"
"DB14596"	"DB00180"
"DB14596"	"DB00223"
"DB14596"	"DB00240"
"DB14596"	"DB00253"
"DB14596"	"DB00324"
"DB14596"	"DB00394"
"DB14596"	"DB00443"
"DB14596"	"DB00547"
"DB14596"	"DB00596"
"DB14596"	"DB00620"
"DB14596"	"DB00663"
"DB14596"	"DB00769"
"DB14596"	"DB00838"
"DB14596"	"DB00846"
"DB14596"	"DB00860"
"DB14596"	"DB14596"
"DB14596"	"DB00896"
"DB14596"	"DB00959"
"DB14596"	"DB01013"
"DB14596"	"DB01130"
"DB14596"	"DB01222"
"DB14596"	"DB01260"
"DB14596"	"DB01380"
"DB14596"	"DB01410"
"DB14596"	"DB06781"
"DB14596"	"DB11921"
"DB14596"	"DB13158"
"DB00874"	"DB00874"
"DB00874"	"DB09409"
"DB00874"	"DB09481"
"DB00875"	"DB00875"
"DB00876"	"DB00177"
"DB00876"	"DB00275"
"DB00876"	"DB00678"
"DB00876"	"DB00796"
"DB00876"	"DB00876"
"DB00876"	"DB08822"
"DB00876"	"DB11842"
"DB00877"	"DB00877"
"DB00880"	"DB00880"
"DB00880"	"DB01031"
"DB00880"	"DB09472"
"DB00881"	"DB00492"
"DB00881"	"DB00519"
"DB00881"	"DB00542"
"DB00881"	"DB00584"
"DB00881"	"DB00722"
"DB00881"	"DB00881"
"DB00881"	"DB01180"
"DB00881"	"DB01340"
"DB00881"	"DB01348"
"DB00881"	"DB13166"
"DB00882"	"DB00539"
"DB00882"	"DB00882"
"DB00882"	"DB00890"
"DB00882"	"DB11478"
"DB00883"	"DB00325"
"DB00883"	"DB00727"
"DB00883"	"DB00883"
"DB00883"	"DB01612"
"DB00884"	"DB00282"
"DB00884"	"DB00710"
"DB00884"	"DB00884"
"DB00887"	"DB00887"
"DB00889"	"DB00377"
"DB00889"	"DB00757"
"DB00889"	"DB00889"
"DB00889"	"DB00969"
"DB00889"	"DB11699"
"DB00890"	"DB00539"
"DB00890"	"DB00882"
"DB00890"	"DB00890"
"DB00890"	"DB11478"
"DB00892"	"DB00296"
"DB00892"	"DB00297"
"DB00892"	"DB00645"
"DB00892"	"DB00807"
"DB00892"	"DB00892"
"DB00892"	"DB00961"
"DB00892"	"DB01002"
"DB00892"	"DB01086"
"DB00893"	"DB00893"
"DB00893"	"DB13995"
"DB00894"	"DB00894"
"DB00894"	"DB00990"
"DB00894"	"DB01006"
"DB00894"	"DB01217"
"DB00895"	"DB00895"
"DB00896"	"DB00180"
"DB00896"	"DB00223"
"DB00896"	"DB00240"
"DB00896"	"DB00253"
"DB00896"	"DB00324"
"DB00896"	"DB00394"
"DB00896"	"DB00443"
"DB00896"	"DB00547"
"DB00896"	"DB00596"
"DB00896"	"DB00620"
"DB00896"	"DB00663"
"DB00896"	"DB00769"
"DB00896"	"DB00838"
"DB00896"	"DB00846"
"DB00896"	"DB00860"
"DB00896"	"DB14596"
"DB00896"	"DB00896"
"DB00896"	"DB00959"
"DB00896"	"DB01013"
"DB00896"	"DB01130"
"DB00896"	"DB01222"
"DB00896"	"DB01260"
"DB00896"	"DB01380"
"DB00896"	"DB01410"
"DB00896"	"DB06781"
"DB00896"	"DB11921"
"DB00896"	"DB13158"
"DB00897"	"DB00231"
"DB00897"	"DB00897"
"DB00898"	"DB00898"
"DB00899"	"DB00318"
"DB00899"	"DB00327"
"DB00899"	"DB00497"
"DB00899"	"DB00611"
"DB00899"	"DB00708"
"DB00899"	"DB00844"
"DB00899"	"DB00854"
"DB00899"	"DB00899"
"DB00899"	"DB01535"
"DB00899"	"DB06230"
"DB00899"	"DB06274"
"DB00899"	"DB09209"
"DB00899"	"DB09272"
"DB00899"	"DB11130"
"DB00899"	"DB11691"
"DB00900"	"DB00900"
"DB00902"	"DB00283"
"DB00902"	"DB00341"
"DB00902"	"DB00405"
"DB00902"	"DB00427"
"DB00902"	"DB00557"
"DB00902"	"DB00719"
"DB00902"	"DB00737"
"DB00902"	"DB00748"
"DB00902"	"DB00792"
"DB00902"	"DB00902"
"DB00902"	"DB00950"
"DB00902"	"DB00967"
"DB00902"	"DB00972"
"DB00902"	"DB00985"
"DB00902"	"DB01084"
"DB00902"	"DB01237"
"DB00902"	"DB01246"
"DB00902"	"DB01619"
"DB00902"	"DB01620"
"DB00902"	"DB04837"
"DB00902"	"DB04890"
"DB00902"	"DB06282"
"DB00902"	"DB06691"
"DB00902"	"DB06766"
"DB00902"	"DB08799"
"DB00902"	"DB08936"
"DB00902"	"DB09488"
"DB00902"	"DB09555"
