"Other_symbol"	"Type_of_symbol"	"Approved.symbol"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"EMCN-IT1"	"Previous_symbol"	"LINC01218"	NA	"ENSG00000251636"
"C8orf69"	"Previous_symbol"	"LINC01298"	"   619344"	"ENSG00000253351"
"C18orf64"	"Previous_symbol"	"LINC01387"	"100130480"	"ENSG00000265944"
"HCCAT4"	"Previous_symbol"	"LINC01451"	"   401561"	NA
"MDONA"	"Previous_symbol"	"LINC01455"	NA	"ENSG00000250888"
"C12orf61"	"Previous_symbol"	"LINC01465"	"   283416"	"ENSG00000221949"
"CXorf31"	"Previous_symbol"	"LINC01545"	"   724087"	"ENSG00000204904"
"CXorf28"	"Previous_symbol"	"LINC01546"	"100129464"	"ENSG00000228459"
"C21orf69"	"Previous_symbol"	"LINC01547"	"    84536"	"ENSG00000183250"
"C21orf67"	"Previous_symbol"	"LINC01547"	"    84536"	"ENSG00000183250"
"C21orf54"	"Previous_symbol"	"LINC01548"	"   728409"	"ENSG00000229086"
"C21orf37"	"Previous_symbol"	"LINC01549"	"100505929"	"ENSG00000232560"
"C14orf64"	"Previous_symbol"	"LINC01550"	"   388011"	"ENSG00000246223"
"C14orf23"	"Previous_symbol"	"LINC01551"	"   387978"	"ENSG00000186960"
"C10orf40"	"Previous_symbol"	"LINC01553"	"   283025"	"ENSG00000235931"
"C5orf27"	"Previous_symbol"	"LINC01554"	"   202299"	"ENSG00000236882"
"C1orf180"	"Previous_symbol"	"LINC01555"	"   439927"	"ENSG00000180869"
"C6orf100"	"Previous_symbol"	"LINC01556"	"   729583"	"ENSG00000204709"
"C6orf123"	"Previous_symbol"	"LINC01558"	"    26238"	"ENSG00000146521"
"LINC01557"	"Previous_symbol"	"LINC01558"	"    26238"	"ENSG00000146521"
"C12orf36"	"Previous_symbol"	"LINC01559"	"   283422"	"ENSG00000180861"
"CXorf24"	"Previous_symbol"	"LINC01560"	"   203414"	"ENSG00000196741"
"C10orf85"	"Previous_symbol"	"LINC01561"	"   404216"	"ENSG00000177234"
"C3orf27"	"Previous_symbol"	"LINC01565"	"    23434"	"ENSG00000198685"
"C4orf6"	"Previous_symbol"	"LINC01587"	"    10141"	"ENSG00000082929"
"C14orf182"	"Previous_symbol"	"LINC01588"	"   283551"	"ENSG00000214900"
"C6orf164"	"Previous_symbol"	"LINC01590"	"    63914"	NA
"C14orf183"	"Previous_symbol"	"LINC01599"	"   196913"	NA
"C6orf195"	"Previous_symbol"	"LINC01600"	"   154386"	"ENSG00000164385"
"C8orf23"	"Previous_symbol"	"LINC01617"	"101926947"	NA
"NCRNA00249"	"Previous_symbol"	"LINC01617"	"101926947"	NA
"C12orf79"	"Previous_symbol"	"LINC01619"	"   256021"	"ENSG00000257242"
"C20orf62"	"Previous_symbol"	"LINC01620"	"   140834"	"ENSG00000168746"
"C6orf7"	"Previous_symbol"	"LINC01621"	"    89758"	"ENSG00000235357"
"EIF2B5-IT1"	"Previous_symbol"	"LINC01839"	"105374251"	"ENSG00000227509"
"EIF2B5-AS1"	"Previous_symbol"	"LINC01840"	"100874079"	"ENSG00000230215"
"LINC02187"	"Previous_symbol"	"LINC02128"	"102724940"	"ENSG00000261241"
"LINC2194"	"Previous_symbol"	"LINC02194"	"105371142"	"ENSG00000260264"
"FAM183CP"	"Previous_symbol"	"LINC02209"	"   286135"	"ENSG00000253279"
"C17orf69"	"Previous_symbol"	"LINC02210"	"   147081"	"ENSG00000204650"
"CRHR1-IT1"	"Previous_symbol"	"LINC02210"	"   147081"	"ENSG00000204650"
"LINC002481"	"Previous_symbol"	"LINC02481"	"   339988"	"ENSG00000246526"
"C11orf78"	"Previous_symbol"	"LINC02584"	"100009613"	"ENSG00000254417"
"NCRNA00224"	"Previous_symbol"	"LINC02584"	"100009613"	"ENSG00000254417"
"ANO1-AS2"	"Previous_symbol"	"LINC02584"	"100009613"	"ENSG00000254417"
"CELSR3-AS1"	"Previous_symbol"	"LINC02585"	"102724368"	"ENSG00000228350"
"KCNC4-AS1"	"Previous_symbol"	"LINC02586"	"100873974"	"ENSG00000224965"
"MEOX2-AS1"	"Previous_symbol"	"LINC02587"	"101927524"	"ENSG00000229108"
"C14orf22"	"Previous_symbol"	"LINC02588"	"102725045"	"ENSG00000257842"
"NOVA1-AS1"	"Previous_symbol"	"LINC02588"	"102725045"	"ENSG00000257842"
"MIRLET7DHG"	"Previous_symbol"	"LINC02603"	"   158257"	"ENSG00000230262"
"C14orf144"	"Previous_symbol"	"LINC02691"	"   145195"	"ENSG00000258913"
"C9orf141"	"Previous_symbol"	"LINC02692"	"101928638"	"ENSG00000198454"
"PRR31"	"Previous_symbol"	"LINC02692"	"101928638"	"ENSG00000198454"
"C17orf51"	"Previous_symbol"	"LINC02693"	"   339263"	"ENSG00000212719"
"C15orf53"	"Previous_symbol"	"LINC02694"	"   400359"	"ENSG00000175779"
"C1orf140"	"Previous_symbol"	"LINC02817"	"   400804"	"ENSG00000234754"
"C7orf71"	"Previous_symbol"	"LINC02860"	"   285941"	"ENSG00000222004"
"C1orf137"	"Previous_symbol"	"LINC02868"	"   388667"	"ENSG00000203864"
"C1orf143"	"Previous_symbol"	"LINC02869"	"   440714"	"ENSG00000228208"
"C10orf91"	"Previous_symbol"	"LINC02870"	"   170393"	"ENSG00000180066"
"C20orf187"	"Previous_symbol"	"LINC02871"	"   728434"	"ENSG00000125899"
"C9orf170"	"Previous_symbol"	"LINC02872"	"   401535"	"ENSG00000204446"
"C11orf44"	"Previous_symbol"	"LINC02873"	"   283171"	"ENSG00000175728"
"C12orf80"	"Previous_symbol"	"LINC02874"	"   283403"	"ENSG00000257137"
"C17orf82"	"Previous_symbol"	"LINC02875"	"   388407"	"ENSG00000187013"
"C17orf112"	"Previous_symbol"	"LINC02876"	"100506650"	"ENSG00000227011"
"C3orf79"	"Previous_symbol"	"LINC02877"	"   152118"	"ENSG00000237787"
"C10orf142"	"Previous_symbol"	"LINC02881"	"100130539"	"ENSG00000277288"
"ISX-AS1"	"Previous_symbol"	"LINC02885"	"101926957"	"ENSG00000286592"
"MIR133BHG"	"Previous_symbol"	"LINCMD1"	"101154644"	"ENSG00000225613"
"LINC-MD1"	"Previous_symbol"	"LINCMD1"	"101154644"	"ENSG00000225613"
