"GeneID.x"	"GeneID.y"
"57414"	"4129"
"3224"	"8399"
"5307"	"8399"
"26022"	"483"
"11345"	"4734"
"9099"	"10640"
"80256"	"11099"
"23201"	"815"
"27033"	"815"
"3927"	"815"
"83741"	"815"
"23118"	"815"
"816"	"815"
"51564"	"998"
"11345"	"26031"
"80342"	"26031"
"4335"	"8440"
"93166"	"8440"
"9564"	"8440"
"3937"	"8440"
"9319"	"9319"
"744"	"9319"
"3927"	"9319"
"7869"	"9319"
"6047"	"9319"
"55885"	"53615"
"4222"	"53615"
"84908"	"53615"
"5577"	"5566"
"9099"	"87"
"10513"	"87"
"93166"	"23503"
"23201"	"22905"
"5601"	"84708"
"26031"	"84708"
"23294"	"84708"
"53339"	"84708"
"54764"	"84708"
"6322"	"84708"
"9454"	"84708"
"23216"	"84708"
"56850"	"84708"
"7185"	"84708"
"27238"	"84708"
"151531"	"84708"
"65220"	"84708"
"3937"	"84708"
"8379"	"84708"
"1195"	"84708"
"87"	"84708"
"10127"	"84708"
"4706"	"84708"
"11178"	"84708"
"9319"	"84708"
"6570"	"7037"
"8712"	"7037"
"55658"	"7321"
"7321"	"55743"
"5080"	"8907"
"54764"	"8907"
"54763"	"8907"
"11178"	"8907"
"841"	"8907"
"84708"	"8907"
"57467"	"5817"
"8100"	"6605"
"56850"	"6605"
"10928"	"6605"
"7629"	"54752"
"25937"	"8463"
"3632"	"8463"
"84708"	"7251"
"57709"	"11343"
"57709"	"8578"
"9265"	"26034"
"8440"	"7294"
"2928"	"54962"
"6602"	"23151"
"9605"	"9605"
"80256"	"9605"
"57414"	"5250"
"221395"	"64778"
"4706"	"64778"
"9961"	"64778"
"9319"	"64778"
"9454"	"285527"
"6047"	"60"
"60"	"60"
"7321"	"23609"
"5774"	"4292"
"163"	"4292"
"83741"	"4292"
"4784"	"4292"
"6792"	"4292"
"57414"	"2329"
"8498"	"27252"
"83741"	"27252"
"56891"	"10615"
"84708"	"9618"
"54764"	"9618"
"9351"	"9618"
"2139"	"9618"
"9618"	"9618"
"5439"	"9618"
"10838"	"9618"
"6047"	"9618"
"80256"	"9618"
"23028"	"9618"
"56938"	"83992"
"4222"	"1641"
"5601"	"1641"
"54764"	"1641"
"26528"	"6626"
"6626"	"6626"
"84708"	"6626"
"11338"	"6626"
"93166"	"56915"
"29116"	"56915"
"2896"	"143684"
"572"	"88"
"9099"	"88"
"57414"	"10003"
"8468"	"8468"
"6047"	"8468"
"2928"	"8468"
"64718"	"2192"
"8468"	"9063"
"10362"	"9063"
"10615"	"10529"
"9744"	"10529"
"7414"	"10529"
"8379"	"10529"
"23016"	"3093"
"5080"	"3093"
"889"	"3093"
"3927"	"54715"
"23201"	"54715"
"10928"	"5108"
"93166"	"9139"
"80143"	"9139"
"5307"	"57644"
"54715"	"54472"
"9961"	"54472"
"5689"	"54472"
"54764"	"54472"
"23201"	"54472"
"23609"	"51619"
"84708"	"51619"
"55658"	"51619"
"84908"	"862"
"93166"	"862"
"9063"	"862"
"11178"	"862"
"6047"	"862"
"9454"	"862"
"84217"	"9984"
"5080"	"9984"
"10640"	"9984"
"23324"	"51661"
"6642"	"51661"
"8907"	"51661"
"57467"	"51661"
"22802"	"51661"
"57709"	"51661"
"10886"	"51661"
"5476"	"51661"
"54764"	"7520"
"55735"	"56925"
"5080"	"56925"
"6047"	"56925"
"9341"	"56681"
"5476"	"56681"
"8907"	"10411"
"54764"	"10411"
"54764"	"51207"
"7185"	"51207"
"57658"	"51207"
"972"	"2222"
"29781"	"2222"
"84708"	"5050"
"5050"	"5050"
"9618"	"1785"
"65055"	"8417"
"60481"	"8417"
"79901"	"8417"
"56681"	"8417"
"51661"	"8417"
"9474"	"9817"
"23294"	"9817"
"8452"	"9817"
"6602"	"9817"
"1534"	"51006"
"54896"	"51006"
"56895"	"51006"
"2222"	"51006"
"7321"	"11043"
"9099"	"11043"
"22905"	"11043"
"221"	"11043"
"4222"	"11043"
"862"	"11043"
"54764"	"11043"
"55633"	"11043"
"7984"	"11043"
"58524"	"11043"
"23294"	"11043"
"2928"	"11043"
"3093"	"11043"
"9759"	"11043"
"56891"	"11043"
"84708"	"11043"
"8907"	"11043"
"11043"	"11043"
"51619"	"11043"
"55885"	"11043"
"1641"	"11043"
"27238"	"11043"
"80256"	"11043"
"79810"	"11043"
"11178"	"11043"
"26073"	"139212"
"51742"	"139212"
"10138"	"139212"
"64398"	"22839"
"9351"	"22839"
"8468"	"22839"
"8440"	"22839"
"2534"	"22839"
"84708"	"10403"
"9759"	"4208"
"11345"	"79876"
"5689"	"8555"
"4074"	"11266"
"9063"	"7188"
"7188"	"7188"
"84708"	"7188"
"6047"	"7188"
"10513"	"3693"
"9817"	"79728"
"9063"	"79977"
"5080"	"79977"
"79931"	"10464"
"5318"	"10464"
"11178"	"10464"
"7188"	"10464"
"9099"	"10464"
"27238"	"10464"
"211"	"10464"
"10529"	"10464"
"56850"	"10464"
"8379"	"10464"
"63932"	"10464"
"11099"	"10464"
"55663"	"55663"
"7813"	"55663"
"84708"	"55663"
"56949"	"10450"
"10513"	"2950"
"55322"	"51729"
